0,-30.0293,-29.2358,-30.0903,-30.0293,-30.6396,-30.6091,-29.8462,-29.5105
2.00E-05,-30.0293,-29.2053,-30.0903,-30.0293,-30.6091,-30.5786,-29.8462,-29.48
4.00E-05,-29.9988,-29.2053,-30.0598,-30.0903,-30.6396,-30.5786,-29.8157,-29.48
6.00E-05,-30.0293,-29.2053,-30.0903,-29.9988,-30.6396,-30.6091,-29.8462,-29.48
8.00E-05,-30.0598,-29.1748,-30.0903,-30.0293,-30.6091,-30.5786,-29.8157,-29.541
1.00E-04,-29.9988,-29.2053,-30.0598,-30.0598,-30.6396,-30.5786,-29.8157,-29.48
1.20E-04,-29.9683,-29.2053,-30.0903,-30.0293,-30.6396,-30.6091,-29.8462,-29.5105
1.40E-04,-29.9683,-29.1748,-30.0903,-30.0293,-30.6396,-30.6091,-29.8462,-29.541
1.60E-04,-29.9683,-29.1748,-30.0903,-30.0293,-30.6396,-30.6396,-29.8462,-29.5105
1.80E-04,-29.9683,-29.1748,-30.0598,-30.0293,-30.6091,-30.5786,-29.8462,-29.48
2.00E-04,-29.9988,-29.1748,-30.0293,-30.0293,-30.6091,-30.6091,-29.8462,-29.48
2.20E-04,-29.9988,-29.1443,-30.0293,-30.0293,-30.6702,-30.5786,-29.7852,-29.5105
2.40E-04,-29.9988,-29.2053,-30.0293,-30.0598,-30.6396,-30.5786,-29.8462,-29.48
2.60E-04,-29.9683,-29.2358,-30.0903,-29.9988,-30.7007,-30.5481,-29.8157,-29.541
2.80E-04,-29.9988,-29.2053,-30.0903,-29.9988,-30.7007,-30.6091,-29.8157,-29.5105
3.00E-04,-29.9683,-29.2053,-30.0903,-30.0293,-30.6396,-30.6091,-29.8157,-29.5105
3.20E-04,-29.9988,-29.2053,-30.0598,-30.0293,-30.6396,-30.6091,-29.8462,-29.5105
3.40E-04,-29.9988,-29.2664,-30.0598,-30.0293,-30.6702,-30.6091,-29.8462,-29.5105
3.60E-04,-29.9683,-29.2358,-30.0903,-30.0598,-30.6396,-30.5786,-29.8157,-29.5105
3.80E-04,-29.9683,-29.2053,-30.0903,-30.0598,-30.6396,-30.6396,-29.8157,-29.541
4.00E-04,-29.9683,-29.2664,-30.0598,-30.0598,-30.6091,-30.5786,-29.7852,-29.541
4.20E-04,-29.9683,-29.2053,-30.0598,-29.9988,-30.6396,-30.5786,-29.8157,-29.5105
4.40E-04,-29.9377,-29.1748,-30.0598,-30.0598,-30.6396,-30.6091,-29.8157,-29.5105
4.60E-04,-29.9988,-29.2053,-30.0598,-30.0598,-30.6396,-30.6396,-29.8157,-29.48
4.80E-04,-29.9683,-29.2053,-30.0293,-30.0598,-30.6091,-30.6091,-29.8462,-29.48
5.00E-04,-29.9683,-29.2053,-30.0598,-30.0598,-30.6396,-30.6091,-29.8767,-29.48
5.20E-04,-29.9683,-29.2053,-30.0598,-30.0598,-30.6091,-30.5481,-29.8462,-29.48
5.40E-04,-29.9683,-29.2053,-30.0293,-30.0598,-30.6091,-30.6091,-29.8462,-29.5105
5.60E-04,-29.9683,-29.2358,-30.0903,-30.0293,-30.6702,-30.5786,-29.8157,-29.541
5.80E-04,-29.9988,-29.2053,-30.0903,-30.0293,-30.6396,-30.5786,-29.8462,-29.5105
6.00E-04,-30.0293,-29.2053,-30.0293,-30.0293,-30.6396,-30.5786,-29.8462,-29.5105
6.20E-04,-30.0293,-29.2053,-30.0598,-30.0293,-30.6396,-30.6091,-29.8462,-29.48
6.40E-04,-29.9988,-29.1748,-30.0598,-30.0598,-30.6091,-30.5786,-29.8462,-29.48
6.60E-04,-29.9988,-29.2053,-30.0903,-30.0293,-30.6396,-30.5786,-29.8462,-29.4495
6.80E-04,-29.9988,-29.2053,-30.0598,-30.0293,-30.6091,-30.5786,-29.8462,-29.48
